date,accuracy
1/19/18 0:00,241254.48
1/30/18 0:00,186729.6
1/19/18 0:00,240217.83
1/13/18 0:00,360159.22
1/6/18 0:00,246721.31
1/12/18 0:00,153460.56
1/27/18 0:00,256378.42
1/19/18 0:00,107737
1/5/18 0:00,186812.97
1/30/18 0:00,186839.4
1/24/18 0:00,128424.555
1/25/18 0:00,100823.25
1/17/18 0:00,154386.77
1/30/18 0:00,186907.92
1/4/18 0:00,117591.695
1/30/18 0:00,186907.92
1/13/18 0:00,186855.7
1/2/18 0:00,114074.83
1/11/18 0:00,411876.34
1/10/18 0:00,576359.94
1/27/18 0:00,256378.42
1/30/18 0:00,186815.47
1/13/18 0:00,186745.47
1/26/18 0:00,188511.53
1/30/18 0:00,139547.17
1/19/18 0:00,150901.94
1/29/18 0:00,132262.48
1/11/18 0:00,153460.56
1/1/18 0:00,149514.39
1/5/18 0:00,108919.2
1/5/18 0:00,139471.62
1/12/18 0:00,218331.97
1/27/18 0:00,256378.42
1/11/18 0:00,153460.56
1/15/18 0:00,155963.42
1/10/18 0:00,188009.36
1/30/18 0:00,186791.52
1/5/18 0:00,186699.95
1/30/18 0:00,234773.95
1/12/18 0:00,109658.16
1/13/18 0:00,186763.62
1/5/18 0:00,186819.58
1/19/18 0:00,107737
1/5/18 0:00,186819.58
1/25/18 0:00,186775.55
1/13/18 0:00,127005.98
1/10/18 0:00,140310.6
1/14/18 0:00,186708.97
1/10/18 0:00,166030.73
1/30/18 0:00,139547.17
1/24/18 0:00,187263
1/8/18 0:00,201883.16
1/11/18 0:00,272925.66
1/12/18 0:00,107869.39
1/10/18 0:00,186760.75
1/28/18 0:00,186715.08
1/1/18 0:00,186706.48
1/14/18 0:00,186708.97
1/14/18 0:00,166592.4
1/5/18 0:00,198258.55
1/14/18 0:00,167816.47
1/1/18 0:00,111420.59
1/12/18 0:00,210248.39
1/4/18 0:00,186896.77
1/14/18 0:00,239641.64
1/3/18 0:00,158296.14
1/3/18 0:00,186834.03
1/4/18 0:00,195001
1/3/18 0:00,186834.03
1/19/18 0:00,186700.89
1/2/18 0:00,252420.48
1/30/18 0:00,186773.34
1/12/18 0:00,186815.78
1/12/18 0:00,210248.39
1/5/18 0:00,186788.22
1/24/18 0:00,187263
1/12/18 0:00,152881.27
1/2/18 0:00,201487.34
1/3/18 0:00,186792.36
1/24/18 0:00,234383.98
1/30/18 0:00,186701.9
1/12/18 0:00,148479.47
1/3/18 0:00,186699.48
1/6/18 0:00,140401.4
1/1/18 0:00,139151.77
1/9/18 0:00,186704.34
1/18/18 0:00,107935.04
1/21/18 0:00,139204.45
1/4/18 0:00,186827.42
1/11/18 0:00,115637.27
1/18/18 0:00,189321.34
1/23/18 0:00,234107.81
1/3/18 0:00,318082.28
1/27/18 0:00,191351.25
1/4/18 0:00,186827.42
1/30/18 0:00,214767.33
1/15/18 0:00,183909.42
1/1/18 0:00,209472.53
1/4/18 0:00,114821.27
1/29/18 0:00,198761.11
1/10/18 0:00,149565.4
1/12/18 0:00,186720.25
1/12/18 0:00,188487.38
1/9/18 0:00,188487.38
